Ordem,Subordem,Família,Nome Científico,Nome Popular,latitude,longitude,localizacao_fossil,imagem,dieta,altura_m,comprimento_m,peso_estimado_kg,ano_descoberta,descricao
Saurischia,Sauropodomorpha,Guaibasauridae,Saturnalia tupiniquim,Saturnália,-29.666668,-53.750000,"Rio Grande do Sul, Brasil",https://upload.wikimedia.org/wikipedia/commons/2/29/Saturnalia_tupiniquim.jpg,Onívoro,0.5,1.5,10,1999,Fóssil crucial que mostra a transição evolutiva inicial dos dinossauros. Apresenta traços de ancestrais dos gigantes saurópodes.
Saurischia,Sauropodomorpha,Guaibasauridae,Pampadromaeus barberenai,Pampadrômeo,-29.653055,-53.292778,"Rio Grande do Sul, Brasil",https://atlasvirtual.com.br/jpg/pampadromaeus.jpg,Onívoro,0.4,1.2,4,2011,Significa 'corredor dos pampas'. Preserva características primordiais essenciais para entender a origem dos saurísquios.
Saurischia,Sauropodomorpha,Plateosauridae,Plateosaurus trossingensis,Plateossauro,49.5350,11.1608,"Baviera, Alemanha",https://dl2.myminifactory.com/object-assets/652fa68a3298f9.03623342/images/720X720-plateomain2.jpg,Herbívoro,3.0,8.0,4000,1837,Um dos primeiros dinossauros gigantes. Bípede capaz de alcançar a folhagem alta das árvores do Triássico.
Saurischia,Sauropodomorpha,Plateosauridae,Unaysaurus tolentinoi,Unaissauro,-29.601389,-53.856945,"Rio Grande do Sul, Brasil",https://static.wikia.nocookie.net/fossil/images/4/4b/Unaysaurus_01.JPG/revision/latest?cb=20090720224302,Herbívoro,0.8,2.5,70,1998,"Compartilha uma ancestralidade próxima com espécies europeias, evidenciando o mundo em um único continente (Pangeia)."
Saurischia,Sauropodomorpha,Massospondylidae,Massospondylus carinatus,Massospondilo,-28.509443,28.623056,"Golden Gate Highlands, África do Sul",https://upload.wikimedia.org/wikipedia/commons/2/29/Massospondylus_BW.jpg,Herbívoro,1.5,4.5,135,1854,"Famoso por fósseis de ninhos que provaram que seus filhotes andavam em quatro patas, mas se tornavam bípedes quando adultos."
Saurischia,Sauropodomorpha,Massospondylidae,Lufengosaurus huenei,Lufengossauro,25.168743,102.084496,"Yunnan, China",https://static.wikia.nocookie.net/fossil/images/b/b0/Lufengosaurus_sketch2.jpg/revision/latest?cb=20090717165116,Herbívoro,2.0,6.0,1700,1941,Prosaurópode massivo. Foi o primeiro esqueleto completo de dinossauro a ser montado e exibido na China.
Saurischia,Sauropodomorpha,Massospondylidae,Coloradisaurus brevis,Coloradissauro,-29.733334,-68.216667,"La Rioja, Argentina",https://images.dinosaurpictures.org/Coloradisaurus-William-Stout_f8ca.jpg,Herbívoro,1.5,4.0,300,1978,Cujo crânio curto ajudou paleontólogos a entenderem as mudanças na mastigação durante o Triássico.
Saurischia,Sauropodomorpha,Riojasauridae,Riojasaurus incertus,Riojassauro,-29.783501,-67.933327,"La Rioja, Argentina",https://static.wikia.nocookie.net/naturerules1/images/6/67/Riojasaurus_sketch1_1535.jpg/revision/latest?cb=20230609013641,Herbívoro,3.0,10.0,3000,1969,"Diferente do Plateosaurus, sua anatomia massiva exigia que andasse sobre as quatro patas na maior parte do tempo."
Ornithischia,Ornithopoda,Pisanosauridae,Pisanosaurus mertii,Pisanossauro,-30.000000,-68.000000,"San Juan, Argentina",https://images.dinosaurpictures.org/061__pisanosaurus_mertii_by_green_mamba-d59umc2_0916.jpg,Herbívoro,0.4,1.0,9,1967,Frequentemente citado como o ornitísquio mais antigo conhecido. Um pequeno herbívoro bípede ágil.
Ornithischia,Ornithopoda,Heterodontosauridae,Heterodontosaurus tucki,Heterodontossauro,-30.533333,27.533333,"Cabo Oriental, África do Sul",https://pbs.twimg.com/media/F1BgJJ8WAAAyAuw.jpg,Herbívoro,0.5,1.2,3,1962,"Seu nome significa 'lagarto de dentes diferentes'. Diferente de quase todos os dinossauros, possuía dentes caninos alongados parecidos com presas."
